,Link_ID,Origin_ID,Destination_ID
366,675,927,925
367,676,925,927
368,677,656,954
369,678,954,656
370,679,435,927
371,680,927,435
372,681,927,954
373,682,954,927
374,683,954,3097
375,684,3097,954
376,685,569,256
377,687,2934,3393
378,688,3393,2934
379,689,954,670
380,690,670,954
381,691,3385,3390
382,692,3390,3385
383,695,3380,3382
384,696,3382,3380
385,697,2100,3450
386,698,3450,2100
387,699,3450,4406
388,700,4406,3450
389,701,575,3380
390,702,575,2104
391,705,435,438
392,706,438,435
393,709,492,268
394,710,268,492
395,711,268,1108
396,712,1108,268
397,713,1108,784
398,714,784,1108
399,717,4101,3561
400,718,3561,4101
401,719,2580,2722
402,720,2722,2580
403,721,2580,4932
404,722,4932,2580
405,723,2722,2629
406,724,2629,2722
407,725,2614,2706
408,726,2706,2614
409,727,2614,2627
410,728,2627,2614
411,729,2627,2613
412,730,2613,2627
413,731,2208,115
414,732,115,2208
415,733,2208,3132
416,734,3132,2208
417,735,3132,844
418,736,844,3132
419,741,574,575
420,742,575,574
421,743,117,121
422,744,121,117
423,747,417,849
424,748,849,417
425,749,849,851
426,750,851,849
427,751,121,124
428,752,124,121
429,753,124,125
430,754,125,124
431,755,125,129
432,756,129,125
433,757,2312,4091
434,758,4091,2312
435,759,4091,4093
436,760,4093,4091
437,761,4093,3291
438,762,3291,4093
439,763,4091,3553
440,764,3553,4091
441,765,4093,3555
442,766,3555,4093
443,767,2320,3443
444,768,3443,2320
445,769,3555,3443
446,770,3443,3555
447,771,2322,3635
448,772,3635,2322
449,773,3635,3637
450,774,3637,3635
451,779,4613,3637
452,780,3637,4613
453,781,3695,3696
454,782,3696,3695
455,785,4080,4091
456,786,4091,4080
457,791,4084,4085
458,792,4085,4084
459,793,2409,2411
460,800,4085,4101
461,801,4101,4085
462,802,860,631
463,803,631,860
464,804,631,778
465,805,778,631
466,808,146,814
467,809,814,146
468,814,3560,4613
469,815,4613,3560
470,816,2322,2320
471,817,2320,2322
472,818,2320,2316
473,819,2316,2320
474,824,4040,4043
475,825,4043,4040
476,826,4272,4273
477,827,4273,4272
478,828,4356,4355
479,829,4355,4356
480,830,4355,4357
481,831,4357,4355
482,832,3395,4740
483,833,4740,3395
484,834,4740,4739
485,835,4739,4740
486,836,4739,4745
487,837,4745,4739
488,840,4272,4040
489,841,4040,4272
490,842,4671,4653
491,843,4653,4671
492,844,4653,3308
493,845,3308,4653
494,846,3308,2822
495,847,2822,3308
496,850,4268,4270
497,851,4270,4268
498,852,4270,4272
499,853,4272,4270
500,854,2820,4321
501,855,4321,2820
502,856,2843,4356
503,857,4356,2843
504,860,4748,4745
505,861,4745,4748
506,864,2412,4766
507,865,4766,2412
508,870,834,555
509,871,555,834
510,872,244,555
511,873,555,244
512,874,244,248
513,875,248,244
514,878,501,247
515,879,247,501
516,880,4902,4526
517,881,4526,4902
518,882,4437,4526
519,883,4526,4437
520,884,4437,4488
521,885,4488,4437
522,890,4373,4488
523,891,4488,4373
524,892,4230,2880
525,893,2880,4230
526,896,4502,4517
527,897,4517,4502
528,900,2312,2310
529,901,2310,2312
530,907,3558,3560
531,910,4384,3112
532,911,3112,4384
533,912,4023,4010
534,913,4010,4023
535,914,3112,4011
536,915,4011,3112
537,916,4011,4001
538,917,4001,4011
539,920,4130,3054
540,921,3054,4130
541,926,3566,3206
542,927,3206,3566
543,928,3206,4698
544,929,4698,3206
545,932,3206,3198
546,933,3198,3206
547,934,4085,4086
548,935,4086,4085
549,936,4086,4101
550,937,4101,4086
551,938,2425,4086
552,939,4490,4475
553,940,4475,4490
554,941,4231,4236
555,942,4236,4231
556,943,4236,3405
557,944,3405,4236
558,945,2504,4236
559,946,4236,2504
560,949,4490,4500
561,950,4500,4490
562,951,4500,4502
563,952,4502,4500
564,955,4478,4465
565,959,4465,4478
566,960,4502,4465
567,961,4465,4502
568,962,3566,3570
569,963,3570,3566
570,969,2597,2640
571,970,2640,2597
572,971,304,961
573,972,961,304
574,973,569,961
575,974,961,569
576,979,3506,3527
577,980,3527,3506
578,989,3592,3593
579,990,3593,3592
580,995,2863,1012
581,996,3050,2863
582,997,1012,2863
583,998,2895,1012
584,999,1012,2895
585,1002,2863,3593
586,1003,3593,2863
587,1004,3592,2862
588,1005,2862,3592
589,1010,2405,2400
590,1011,2400,2405
591,1012,4539,2405
592,1013,2405,4539
593,1015,3593,1012
594,1016,1012,3593
595,1017,4541,4539
596,1018,2302,4541
597,1019,4539,4541
598,1020,4541,2301
599,1021,2302,2310
600,1024,3401,2407
601,1025,2407,3401
602,1026,2407,2301
603,1027,2302,2407
604,1028,2407,2409
605,1029,2409,2407
606,1035,224,228
607,1036,228,224
608,1037,228,274
609,1038,274,228
610,1039,2333,3036
611,1040,3036,2333
612,1041,2332,2333
613,1042,2333,2332
614,1051,3032,3037
615,1052,3037,3032
616,1053,3032,2326
617,1054,2326,3032
618,1063,3019,2312
619,1064,2312,3019
620,1066,3024,3019
621,1069,2863,3050
622,1070,3697,4617
623,1071,4617,3697
624,1074,432,31200
625,1075,31200,432
626,1076,31200,435
627,1077,435,31200
628,1078,2956,31200
629,1079,31200,2956
630,1082,31200,188
631,1083,188,31200
632,1084,3332,3330
633,1085,3330,3332
634,1086,3216,3732
635,1087,3732,3216
636,1088,3213,3224
637,1089,3224,3213
638,1090,516,228
639,1091,228,516
640,1094,284,216
641,1095,216,284
642,1096,2326,4625
643,1097,4625,2326
644,1098,735,730
645,1099,730,735
646,1100,543,604
647,1101,604,543
648,1103,3174,604
649,1104,522,251
650,1105,251,522
651,1108,729,275
652,1109,275,729
653,1110,275,735
654,1111,735,275
655,1112,2329,4641
656,1113,4641,2329
657,1114,4641,4640
658,1115,4640,4641
659,1118,4625,4640
660,1119,4640,4625
661,1120,1374,5254
662,1121,5254,1374
663,1122,5269,5254
664,1123,5254,5269
665,1124,5254,5252
666,1125,5252,5254
667,1126,5262,5254
668,1127,5254,5262
669,1128,400,1247
670,1129,1247,400
671,1132,31010,31007
672,1133,31007,31010
673,1134,248,31010
674,1135,31010,248
675,1136,31007,501
676,1137,501,31007
677,1138,248,31007
678,1139,31007,248
679,1140,31010,31009
680,1141,31009,31010
681,1142,31009,31011
682,1143,31011,31009
683,1144,31011,244
684,1145,244,31011
685,1146,31009,31008
686,1147,31008,31009
687,1148,247,31004
688,1149,31004,247
689,1150,31004,31002
690,1151,31002,31004
691,1152,31008,31006
692,1153,31006,31008
693,1154,31006,501
694,1155,501,31006
695,1156,31006,31005
696,1157,31005,31006
697,1158,31005,247
698,1159,247,31005
699,1160,31004,31003
700,1161,31003,31004
701,1162,31003,247
702,1163,247,31003
703,1164,31001,31003
704,1165,31003,31001
705,1166,31002,31001
706,1167,31001,31002
707,1168,31005,31003
708,1169,31003,31005
709,1170,1191,4372
710,1171,4372,1191
711,1172,4372,4437
712,1173,4437,4372
713,1174,4372,4373
714,1175,4373,4372
715,1176,4373,4163
716,1177,4163,4373
717,1178,3671,4214
718,1179,4214,3671
719,1180,4216,3451
720,1181,3451,4216
721,1182,4214,2101
722,1183,2101,4214
723,1184,4163,4435
724,1185,4435,4163
725,1186,4902,1191
726,1188,4455,4406
727,1189,4406,4455
728,1190,4455,3385
729,1191,3385,4455
730,1194,4575,2932
731,1195,2932,4575
732,1197,4575,4406
733,1198,4406,4575
734,1199,3451,3450
735,1200,3450,3451
736,1201,3451,3382
737,1202,3382,3451
738,1203,3451,2101
739,1204,2101,3451
740,1205,2101,2100
741,1206,2100,2101
742,1207,2101,2104
743,1208,2104,2101
744,1211,4668,4023
745,1212,4023,4668
746,1213,4668,3671
747,1214,3671,4668
748,1215,4686,3059
749,1216,3059,4686
750,1217,3059,3058
751,1218,3058,3059
752,1219,3059,3060
753,1220,3060,3059
754,1225,216,217
755,1226,217,216
756,1227,217,222
757,1228,222,217
758,1229,222,224
